"07/25/15","3","Initial research and project creation"
"07/26/15","3","Continue preliminary work on Eve"
"08/01/15","3","Initial Bitbucket commit.  unit tests; work on idea project; test project generally"
"08/02/15","2","Create spec, Postman Testing"
"08/03/15","0.5","Add Team Entity and Test; create hours."
"08/06/15","0.5","Wrestle with an Eve configuration issue"
"08/08/15","3","Solve Eve configuration issue.  Preliminary bootstrap styling.  Fix paths to static and template files."
"08/09/15","1.75","Rework packages yet again.  Tests still hosed at this point.  Initial work on authentication, using alguitos as test endpoint."
"08/14/15","3","Begin writing auth tests.  Write function to encode basic auth headers.  Exercise Docstring mojo Remove settings.py in favor of inline settings in App. Preliminary Team+Password auth class."
"08/15/15","3","Demo Ipython notebooks for testing/documentation.  Rework people resource to begin using it as “User”."
"08/16/15","3","Create common unit test / integration test helper.  Begin work on integration test, SetupDemo.  Lot of good learning."
"08/21/15","0.5","Attempt to get authentication to work cleanly for superuser (site admin, god).  Moving in different direction."
"08/22/15","3","Set up Jinja templates including default layout, jquery version of active tab logic, and demo Flask session use, preliminary login and register pages.  Rework jquery version of active tab logic to Jinja to avoid flashing.  Create controllers package (really Jinja views); begin moving view code there."
"08/23/15","2.5","Incorporate Angular.js, with basic routing in place.  Still deciding on Angular Single Page App versus Jinja."
"08/24/15","1","Begin work on registration data model unit test and class."
"08/29/15","4","Work on registration page including Ajax call to verify team name; figure out how to get test request context (See TestHelper.test_request_context), and use this in new Auth test for now.  Additional methods on registration model."
"08/30/15","0.25","Work on wiring up registration view to model"
"08/31/15","0.75","Continue wiring up registration view to model"
"09/01/15","0.5","Registration view, registration model work."
"09/20/15","5","Better integration for SQLAlchemy, plus basic login working using flask-login + wtforms. Nice!"
"09/21/15","1.25","Work on fixing login bug; refactor auth into a Blueprint"
"09/22/15","0.25","Fix for login bug – working reasonably well now but need to get rid if blank password for logged in user."
"09/26/15","4","Refactoring, incorporate large app structure with config file, app factory, etc., and improve use of Blueprints."
"09/27/15","2","Re-incorporate Goalboost schema, rework unit tests."
"09/27/15","0.75","Use Flask-Security, replacing existing work on Flask-Login"
"09/28/15","0.5","Continue Flask-Security work"
"09/28/15","0.75","More flask-security work, now using Flask-Security, but more customization & cleanup to do!"
"09/29/15","0.5","Flask security customize login page somewhat."
"09/30/15","0.5","Redo schema Flask-Security + timer + task."
"10/12/15","2","Flask security / email configuration & testing.  Test basic signup (no confirmation yet)."
"10/12/15","1","Remove some sensitive information from repo."
"10/13/15","2","Continue removing sensitive stuff; rework for mongodb, replacing mysql in flask-security"
"10/15/15","1","Rework unit tests – passing under mongo.  Review flask-security datastore as basis for our models."
"10/16/15","1","Work on new mongo models, tests."
"10/17/15","1.5","Continue work on models and tests."
